,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13,NSFA_14_REGIONS,NSFA_14,NSFA_15_REGIONS,NSFA_15,NSFA_16_REGIONS,NSFA_16,NSFA_17_REGIONS,NSFA_17,NSFA_18_REGIONS,NSFA_18,NSFA_19_REGIONS,NSFA_19,NSFA_20_REGIONS,NSFA_20,NSFA_21_REGIONS,NSFA_21,NSFA_22_REGIONS,NSFA_22,NSFA_23_REGIONS,NSFA_23,NSFA_24_REGIONS,NSFA_24,NSFA_25_REGIONS,NSFA_25,NSFA_26_REGIONS,NSFA_26,NSFA_27_REGIONS,NSFA_27,NSFA_28_REGIONS,NSFA_28
NEG_1,CTX_PARSTRIANGULARIS,-0.527424,PUTAMEN,-0.384583,CTX_MIDDLETEMPORAL,-0.269394,CTX_INFERIORTEMPORAL,-0.391672,CTX_LATERALOCCIPITAL,-0.295539,CTX_ENTORHINAL,-0.452402,BRAIN_STEM,-0.973204,CTX_TRANSVERSETEMPORAL,-0.572983,CTX_LATERALOCCIPITAL,-0.853254,CTX_PARSOPERCULARIS,-0.409408,CTX_CAUDALMIDDLEFRONTAL,-0.561216,CTX_ISTHMUSCINGULATE,-0.385727,CTX_PRECENTRAL,-0.53528,CTX_ENTORHINAL,-0.294186,CTX_FUSIFORM,-0.370622,CTX_SUPERIORPARIETAL,-0.256889,CTX_PARSOPERCULARIS,-0.276162,CTX_FRONTALPOLE,-0.3709,CTX_PARACENTRAL,-0.62654,CTX_FRONTALPOLE,-0.290972,PUTAMEN,-0.199752,CEREBELLUM_CORTEX,-0.153747,CTX_PERICALCARINE,-0.314434,CTX_MEDIALORBITOFRONTAL,-0.2309,CTX_SUPERIORPARIETAL,-0.304088,CTX_ROSTRALMIDDLEFRONTAL,-0.32411,CTX_FRONTALPOLE,-0.149693,CTX_MEDIALORBITOFRONTAL,-0.337238,CTX_SUPERIORFRONTAL,-0.304462
NEG_2,CTX_ROSTRALMIDDLEFRONTAL,-0.455028,AMYGDALA,-0.341014,CTX_CUNEUS,-0.171461,CTX_MIDDLETEMPORAL,-0.355313,CTX_TRANSVERSETEMPORAL,-0.152191,CTX_PARAHIPPOCAMPAL,-0.409226,CEREBELLUM_WHITE_MATTER,-0.936796,CAUDATE,-0.442427,CTX_CUNEUS,-0.605667,CTX_PARSORBITALIS,-0.364513,CTX_SUPERIORFRONTAL,-0.296835,PUTAMEN,-0.214398,CTX_PARACENTRAL,-0.406491,CEREBELLUM_CORTEX,-0.11855,CTX_INFERIORTEMPORAL,-0.311583,CTX_LATERALORBITOFRONTAL,-0.140081,CTX_POSTERIORCINGULATE,-0.250217,CTX_PARACENTRAL,-0.349169,CTX_ISTHMUSCINGULATE,-0.182235,CTX_PARSOPERCULARIS,-0.22705,CAUDATE,-0.196963,CTX_ISTHMUSCINGULATE,-0.126003,,,CTX_LATERALORBITOFRONTAL,-0.168697,CTX_LATERALOCCIPITAL,-0.255715,CTX_INFERIORTEMPORAL,-0.089917,CTX_BANKSSTS,-0.126796,ACCUMBENS_AREA,-0.264543,CTX_CAUDALANTERIORCINGULATE,-0.060652
NEG_3,CTX_POSTCENTRAL,-0.422153,ACCUMBENS_AREA,-0.231242,CTX_INFERIORPARIETAL,-0.164583,CTX_PARAHIPPOCAMPAL,-0.279296,CTX_POSTERIORCINGULATE,-0.103241,CAUDATE,-0.208823,CEREBRAL_WHITE_MATTER,-0.930726,PUTAMEN,-0.327422,CTX_POSTCENTRAL,-0.58454,CTX_LATERALORBITOFRONTAL,-0.295457,CTX_MIDDLETEMPORAL,-0.238884,CTX_LATERALOCCIPITAL,-0.081641,CTX_POSTCENTRAL,-0.341317,CTX_CAUDALMIDDLEFRONTAL,-0.085819,PUTAMEN,-0.284624,CTX_SUPERIORFRONTAL,-0.124725,CTX_PARAHIPPOCAMPAL,-0.221183,CTX_ISTHMUSCINGULATE,-0.189735,CTX_PRECUNEUS,-0.155641,CTX_INSULA,-0.107238,ACCUMBENS_AREA,-0.109139,THALAMUS_PROPER,-0.106567,,,CTX_FRONTALPOLE,-0.140642,CTX_LATERALORBITOFRONTAL,-0.179767,CTX_SUPERIORFRONTAL,-0.083181,CTX_LATERALOCCIPITAL,-0.124771,AMYGDALA,-0.061723,CTX_PARSOPERCULARIS,-0.03607
NEG_4,CTX_CAUDALMIDDLEFRONTAL,-0.416468,PALLIDUM,-0.196299,THALAMUS_PROPER,-0.070654,CTX_SUPERIORTEMPORAL,-0.256895,CTX_ENTORHINAL,-0.07456,CTX_POSTERIORCINGULATE,-0.175037,CEREBELLUM_CORTEX,-0.921668,CTX_PARACENTRAL,-0.283884,CTX_PRECENTRAL,-0.536271,CTX_PARSTRIANGULARIS,-0.273018,CTX_INFERIORTEMPORAL,-0.178116,CEREBRAL_WHITE_MATTER,-0.057765,CTX_INSULA,-0.229926,CTX_FRONTALPOLE,-0.049693,AMYGDALA,-0.242932,CTX_PERICALCARINE,-0.109059,CTX_INFERIORTEMPORAL,-0.205496,ACCUMBENS_AREA,-0.098005,,,,,CTX_INFERIORTEMPORAL,-0.091931,CTX_LINGUAL,-0.091342,,,CTX_SUPERIORFRONTAL,-0.023383,CTX_CUNEUS,-0.155902,,,HIPPOCAMPUS,-0.109555,,,,
NEG_5,CTX_PRECENTRAL,-0.411394,CTX_INSULA,-0.15463,,,CTX_INFERIORPARIETAL,-0.236869,THALAMUS_PROPER,-0.01836,CTX_PERICALCARINE,-0.158134,THALAMUS_PROPER,-0.919854,CTX_CAUDALANTERIORCINGULATE,-0.257382,CTX_SUPERIORPARIETAL,-0.519868,CTX_CAUDALMIDDLEFRONTAL,-0.117215,CTX_INFERIORPARIETAL,-0.172517,CTX_INFERIORTEMPORAL,-0.051064,CTX_SUPERIORFRONTAL,-0.212297,,,CTX_LATERALORBITOFRONTAL,-0.193775,CTX_SUPERIORTEMPORAL,-0.10326,CTX_LATERALORBITOFRONTAL,-0.200617,CTX_PRECUNEUS,-0.094157,,,,,CTX_MEDIALORBITOFRONTAL,-0.065874,,,,,BRAIN_STEM,-0.020143,CTX_INFERIORPARIETAL,-0.15179,,,,,,,,
NEG_6,CTX_SUPRAMARGINAL,-0.403041,CTX_SUPERIORPARIETAL,-0.116058,,,CTX_ISTHMUSCINGULATE,-0.222057,,,CTX_LINGUAL,-0.139046,HIPPOCAMPUS,-0.893967,CTX_CAUDALMIDDLEFRONTAL,-0.2543,CTX_LINGUAL,-0.47217,PUTAMEN,-0.092365,CTX_ROSTRALMIDDLEFRONTAL,-0.159087,,,CTX_CAUDALANTERIORCINGULATE,-0.181437,,,CTX_BANKSSTS,-0.165841,CTX_PRECUNEUS,-0.101956,CTX_PARACENTRAL,-0.17834,CTX_INFERIORTEMPORAL,-0.02734,,,,,THALAMUS_PROPER,-0.052292,,,,,,,CTX_CAUDALANTERIORCINGULATE,-0.143678,,,,,,,,
NEG_7,CTX_FRONTALPOLE,-0.37213,THALAMUS_PROPER,-0.111368,,,CTX_SUPRAMARGINAL,-0.209301,,,CTX_POSTCENTRAL,-0.122757,PALLIDUM,-0.856099,CTX_PRECENTRAL,-0.242334,CTX_PERICALCARINE,-0.367246,CTX_TRANSVERSETEMPORAL,-0.086744,,,,,CTX_CAUDALMIDDLEFRONTAL,-0.137289,,,CTX_SUPERIORFRONTAL,-0.084181,CTX_MEDIALORBITOFRONTAL,-0.092341,CTX_PRECUNEUS,-0.155576,,,,,,,,,,,,,,,CTX_ROSTRALANTERIORCINGULATE,-0.121251,,,,,,,,
NEG_8,CTX_SUPERIORFRONTAL,-0.347906,HIPPOCAMPUS,-0.083824,,,CTX_SUPERIORPARIETAL,-0.179941,,,CEREBELLUM_CORTEX,-0.110907,CTX_ENTORHINAL,-0.660379,CTX_POSTERIORCINGULATE,-0.22596,CTX_INFERIORPARIETAL,-0.347948,CTX_POSTCENTRAL,-0.041249,,,,,CTX_ROSTRALANTERIORCINGULATE,-0.08352,,,CEREBRAL_WHITE_MATTER,-0.059543,CTX_POSTCENTRAL,-0.045158,CTX_SUPRAMARGINAL,-0.133912,,,,,,,,,,,,,,,CTX_PARAHIPPOCAMPAL,-0.051066,,,,,,,,
NEG_9,CTX_PARSOPERCULARIS,-0.317583,,,,,CTX_POSTCENTRAL,-0.1754,,,CTX_INFERIORTEMPORAL,-0.104599,CTX_TEMPORALPOLE,-0.634027,CTX_INSULA,-0.221865,CTX_MIDDLETEMPORAL,-0.347243,HIPPOCAMPUS,-0.034134,,,,,CTX_LATERALORBITOFRONTAL,-0.061021,,,ACCUMBENS_AREA,-0.05513,CTX_ROSTRALMIDDLEFRONTAL,-0.034676,CEREBELLUM_WHITE_MATTER,-0.114431,,,,,,,,,,,,,,,CTX_PARSORBITALIS,-0.037817,,,,,,,,
NEG_10,CTX_PARSORBITALIS,-0.299735,,,,,CTX_FUSIFORM,-0.164739,,,HIPPOCAMPUS,-0.100913,CAUDATE,-0.514021,THALAMUS_PROPER,-0.21347,CTX_INFERIORTEMPORAL,-0.286827,CTX_INSULA,-0.028136,,,,,,,,,CTX_INSULA,-0.037621,CTX_INFERIORTEMPORAL,-0.027878,CTX_ISTHMUSCINGULATE,-0.114052,,,,,,,,,,,,,,,,,,,,,,,,
