,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE
25,CTX_CUNEUS,0.020240978290254313,CTX_POSTCENTRAL,0.02021247414429939,CTX_SUPERIORTEMPORAL,0.022229056378174857,BRAIN_STEM,0.021843068446309205,CTX_FUSIFORM,0.02229854044185117,CTX_CUNEUS,0.02132724878395841,CTX_POSTERIORCINGULATE,0.022773551912143045,CTX_ROSTRALMIDDLEFRONTAL,0.021394344227762343,CTX_PRECENTRAL,0.020785028019496204,CTX_ROSTRALANTERIORCINGULATE,0.02057509724763511,CTX_SUPRAMARGINAL,0.02119388453677244,CTX_INFERIORTEMPORAL,0.022398517915796928,CTX_MIDDLETEMPORAL,0.02063386419875784,CTX_POSTCENTRAL,0.022289428322370186
26,CTX_BANKSSTS,0.02023227172400219,CTX_TEMPORALPOLE,0.020020831368461504,CEREBRAL_WHITE_MATTER,0.021496338618952306,VENTRALDC,0.02133139805039686,CEREBRAL_WHITE_MATTER,0.02169896882955022,CTX_PRECUNEUS,0.021084053584590198,CTX_FUSIFORM,0.022713679297971322,CTX_PARSOPERCULARIS,0.021279269727204786,CTX_SUPERIORPARIETAL,0.020509064554122162,CTX_CAUDALANTERIORCINGULATE,0.020452370654852788,CTX_MEDIALORBITOFRONTAL,0.02100722412467413,CTX_MIDDLETEMPORAL,0.02199479232892301,CTX_ISTHMUSCINGULATE,0.020352568836152805,CTX_MIDDLETEMPORAL,0.021273278518408264
27,HIPPOCAMPUS,0.020074773818243945,CTX_LATERALOCCIPITAL,0.019980133198593833,BRAIN_STEM,0.019737639742992707,CTX_PARACENTRAL,0.020873812027947577,CTX_PRECENTRAL,0.02139660261945128,CTX_SUPRAMARGINAL,0.020637315269261984,CTX_ROSTRALANTERIORCINGULATE,0.022040129563262095,CTX_ENTORHINAL,0.021008949102426355,CTX_PRECUNEUS,0.020507721218018603,CTX_SUPERIORTEMPORAL,0.020428173768898866,CTX_CAUDALANTERIORCINGULATE,0.020991583931281015,CTX_TRANSVERSETEMPORAL,0.021933491549902904,CTX_SUPERIORTEMPORAL,0.02007145014626715,CTX_PRECENTRAL,0.021188487248258888
28,CTX_FUSIFORM,0.019997281190271672,CTX_PARACENTRAL,0.019332808459133984,CEREBELLUM_WHITE_MATTER,0.01943565313787303,CTX_SUPERIORTEMPORAL,0.019406430470413454,CEREBELLUM_WHITE_MATTER,0.02113553098210093,CTX_INFERIORPARIETAL,0.019991537657548967,CTX_SUPERIORTEMPORAL,0.02176584265215012,CTX_CAUDALMIDDLEFRONTAL,0.02077393386768189,CTX_SUPERIORTEMPORAL,0.020157956132702395,CTX_ISTHMUSCINGULATE,0.020217468358468303,CTX_INFERIORPARIETAL,0.02090932276692641,CTX_PRECENTRAL,0.021351842631910114,CTX_PRECUNEUS,0.019859792373198768,CAUDATE,0.020798886119877933
29,CTX_SUPRAMARGINAL,0.019671770807754018,CTX_FUSIFORM,0.019203155746793547,VENTRALDC,0.019180948178828004,CTX_TEMPORALPOLE,0.018082514148677953,BRAIN_STEM,0.02094663877551052,CTX_FRONTALPOLE,0.019958187439485978,CTX_CAUDALANTERIORCINGULATE,0.020967502704306182,CTX_MEDIALORBITOFRONTAL,0.020597661356675328,CTX_LATERALOCCIPITAL,0.0199018997572088,CTX_BANKSSTS,0.02006771734106188,CTX_BANKSSTS,0.020549964215369934,CTX_SUPERIORTEMPORAL,0.020990242076145478,CTX_MEDIALORBITOFRONTAL,0.01919662296549425,CTX_INFERIORTEMPORAL,0.020573619325735003
30,CTX_FRONTALPOLE,0.019527558745917672,CTX_PRECENTRAL,0.018072231858998703,CTX_FUSIFORM,0.018246751059148775,CTX_FUSIFORM,0.01764312873296254,VENTRALDC,0.020333075000146167,CTX_SUPERIORTEMPORAL,0.019806208984547234,CEREBRAL_WHITE_MATTER,0.02055978782991983,CTX_PARAHIPPOCAMPAL,0.020481068999807905,CTX_BANKSSTS,0.01989737933972101,CTX_PRECUNEUS,0.020009877910076617,CTX_SUPERIORFRONTAL,0.02050842751939514,CTX_FUSIFORM,0.0209276345579138,CTX_CUNEUS,0.01910580626070473,THALAMUS_PROPER,0.019185095337096288
31,CTX_PRECUNEUS,0.01935645437893765,PALLIDUM,0.01795206253725549,CTX_INSULA,0.01725326026389408,PALLIDUM,0.017138784547571416,CTX_TEMPORALPOLE,0.01978911489648394,CTX_ENTORHINAL,0.019750336132771384,CEREBELLUM_WHITE_MATTER,0.01993488285691718,PALLIDUM,0.02040422436040637,CTX_PARACENTRAL,0.019430282572728184,CTX_MEDIALORBITOFRONTAL,0.019702900601296987,CTX_SUPERIORTEMPORAL,0.0204195556875363,CTX_CUNEUS,0.020566381515231526,CTX_TRANSVERSETEMPORAL,0.019087936324818963,CTX_INSULA,0.01885862421107122
32,CTX_ENTORHINAL,0.019223832412269833,THALAMUS_PROPER,0.01770434819554575,CTX_TEMPORALPOLE,0.016998581724467162,CTX_INSULA,0.015711475527422986,CTX_PERICALCARINE,0.019561168197882346,CTX_BANKSSTS,0.019459066042666756,BRAIN_STEM,0.019929585878298333,CTX_PRECENTRAL,0.020246370867047545,CTX_ENTORHINAL,0.018755074163439377,CTX_ENTORHINAL,0.019549928052743606,CTX_PRECUNEUS,0.02001869365746131,CTX_TEMPORALPOLE,0.02028593967872766,CTX_TEMPORALPOLE,0.01862202529855208,CTX_TEMPORALPOLE,0.018827378465664065
33,CTX_SUPERIORPARIETAL,0.019006297649724096,CTX_TRANSVERSETEMPORAL,0.017429538161458986,CTX_PERICALCARINE,0.01665780454957287,CTX_PARAHIPPOCAMPAL,0.01544745898393406,CTX_LINGUAL,0.018097333553003015,CTX_MIDDLETEMPORAL,0.019402785984039363,VENTRALDC,0.019110135446962422,CTX_ROSTRALANTERIORCINGULATE,0.019807203476267556,CTX_TRANSVERSETEMPORAL,0.01848141999765892,CTX_FUSIFORM,0.019313743134958376,CTX_ENTORHINAL,0.019990131772556048,PALLIDUM,0.019754344346530547,CTX_INFERIORTEMPORAL,0.01766702515566908,CTX_FUSIFORM,0.01850531820638175
34,CTX_MIDDLETEMPORAL,0.01893833532264282,CTX_INSULA,0.0171551621601972,CTX_CUNEUS,0.016150307581207873,CTX_PERICALCARINE,0.01500140672203733,CTX_CUNEUS,0.017966601594676255,CTX_LATERALOCCIPITAL,0.01911271166275448,CTX_TEMPORALPOLE,0.01796342440836225,CTX_CAUDALANTERIORCINGULATE,0.019722968531719568,CAUDATE,0.017904573589646245,CTX_POSTERIORCINGULATE,0.01927091343044882,CTX_FUSIFORM,0.019978424927173857,THALAMUS_PROPER,0.019203952090162624,CEREBELLUM_CORTEX,0.01625896175204614,CTX_ENTORHINAL,0.01798164332495015
