Name,INC_LOW_N_rank_effect_pvalue,INC_LOW_N_rank_effect_rank_biserial,INC_LOW_N_ranks_post_mean,INC_LOW_N_ranks_post_std,INC_LOW_N_ranks_prior_mean,INC_LOW_N_ranks_prior_std,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,INC_VS_STABLE_uptake_effect_pvalue,INC_VS_STABLE_uptake_effect_rank_biserial,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_rank_effect_pvalue,STABLE_LOW_N_rank_effect_rank_biserial,STABLE_LOW_N_ranks_post_mean,STABLE_LOW_N_ranks_post_std,STABLE_LOW_N_ranks_prior_mean,STABLE_LOW_N_ranks_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std,regions
ctx-lh-caudalmiddlefrontal,0.24439116036325159,0.067959183673469425,19.842857142857142,11.574153118399776,21.157142857142858,11.274035548596625,0.0015963082870506233,0.28897959183673472,1.1277756763349194,0.2112425533058572,1.02299760112849,0.15931597934053138,0.48999661058643468,0.0027649769585254003,0.41444553000458706,0.015438475665748408,21.212121212121211,10.988306665689986,20.977272727272727,10.981710628110687,0.20848313949769182,0.057851239669421517,1.0548707271173476,0.20241391827818703,1.0204267427719342,0.15328521492617669,0.12764394095838827,0.11862643080124868,22.758064516129032,10.06540783890944,20.774193548387096,10.638365377163113,0.024621822514634663,0.20499479708636836,0.97255868767815357,0.15515127056941833,1.0175241607564678,0.14612320526531719,['ctx-lh-caudalmiddlefrontal']
ctx-rh-frontalpole,0.31624489365389752,0.046938775510204089,13.471428571428572,14.977813523982185,15.485714285714286,16.595819488346933,0.039847054628219268,0.1718367346938775,1.2254832728534129,0.27205304935824381,1.1251592286367502,0.29585810234204457,0.17088806850986549,0.096313364055299555,0.3721340002529393,0.023243801652892526,15.015151515151516,15.361790875950534,16.113636363636363,16.548664565398369,0.14568436175008831,0.075183654729109262,1.1459054346902438,0.27433563642159281,1.1053919708921207,0.28297505379475074,0.44127214658701197,0.015608740894901163,16.758064516129032,15.601577136851517,16.822580645161292,16.466509700825107,0.30075576966919754,0.054630593132154015,1.0560594883769889,0.24788325343013229,1.0830740992449586,0.2659253351056427,['ctx-rh-frontalpole']
ctx-lh-precuneus,0.33378111546946443,0.042244897959183625,28.057142857142857,14.138989370112819,29.328571428571429,13.168926009546031,0.0042988004282543115,0.25755102040816324,1.0633047702981679,0.27177999160417554,0.96114913305432903,0.21496757901639266,0.094951781126095813,0.13271889400921655,0.31449639414468489,0.03443526170798894,30.431818181818183,12.822324980530485,31.530303030303031,11.728907176055928,0.064329604530686021,0.10824150596877868,0.97737630179262558,0.23458929470362802,0.93160542655387024,0.17865444204005368,0.37346141450566139,0.033818938605619131,33.112903225806448,10.525092657181107,34.016129032258064,9.2431176409957132,0.21415481105031509,0.082726326742976086,0.88036028896378749,0.12657567564900526,0.89824962889206161,0.1169673209761834,['ctx-lh-precuneus']
ctx-rh-parstriangularis,0.5,0.00020408163265306367,14.557142857142857,8.8811770685224474,14.885714285714286,9.2883073302526142,0.00072100335276083292,0.31224489795918364,1.171639997983891,0.17324210913758858,1.0806614845306501,0.1464452213744544,0.13641544472172934,0.11105990783410136,0.39501314890599781,0.018996786042240643,13.280303030303031,8.7380345841053479,13.166666666666666,8.9824464058709221,0.05080538913741213,0.11662075298438934,1.1251554143409581,0.17067495142420966,1.0946991432216262,0.14774168947000002,0.29785848067905313,0.055411030176899079,11.838709677419354,8.3418756078982792,11.225806451612904,8.2019261208310876,0.12365709847374673,0.12070759625390215,1.072672819905389,0.15145650938423719,1.1105481127114383,0.14759590748198276,['ctx-rh-parstriangularis']
ctx-lh-parsorbitalis,0.052346691172415701,0.15693877551020408,5.3285714285714283,7.0014721484055027,3.8285714285714287,5.1268799439019119,0.0617902257749482,0.15102040816326534,1.3616917296190201,0.20765218706212349,1.3074282252642169,0.18952611562560043,0.018490022451723966,0.21105990783410133,0.081911673330799073,0.098140495867768629,5.5151515151515156,7.0134987253853938,4.8181818181818183,6.6124517318719302,0.22504291567611645,0.053833792470156072,1.2951268705214267,0.22061987101948011,1.2767142211825322,0.20571301314822873,0.40638362668344846,0.024713839750260091,5.725806451612903,7.0210957577829953,5.935483870967742,7.8141124766749392,0.32553922103238664,0.047346514047866828,1.2199729973467248,0.21045835355092135,1.2420371197999851,0.21742464010981366,['ctx-lh-parsorbitalis']
ctx-lh-lateralorbitofrontal,0.10762260597735313,0.12142857142857144,12.742857142857142,9.4983994355225274,10.771428571428572,8.3275299520350448,0.10147478245789043,0.12489795918367352,1.1982289119703757,0.19967402370970302,1.1447345548811891,0.15403209639991344,0.0019356581607104526,0.29216589861751152,0.24160520146231762,0.049931129476584069,13.5,9.712144849401577,12.856060606060606,9.7360098352188622,0.2714046677242542,0.043388429752066138,1.1283774562135718,0.18687254271049067,1.1088832852522053,0.14525261545218171,0.32807436714032978,0.046566077003121764,14.35483870967742,9.8784496207385342,15.209677419354838,10.63338791757449,0.29728582155377192,0.055671175858480804,1.0495129093913738,0.13268782679878224,1.068406045348514,0.12264644270075374,['ctx-lh-lateralorbitofrontal']
ctx-lh-isthmuscingulate,0.25840218888839894,0.063673469387755088,25.37142857142857,12.728114469912018,23.942857142857143,13.268529592649685,0.026189578369530658,0.19020408163265301,1.0683809131998827,0.20009952305635639,0.99777992943478755,0.166641212171702,0.16067256625048193,0.10046082949308754,0.39757203641939204,0.018537649219467434,25.136363636363637,13.264084982132131,24.681818181818183,13.425618986812612,0.21690818500711645,0.055785123966942129,1.0064816420534894,0.19370199096589649,0.98528214819072546,0.16850977981255991,0.42465194373143755,0.02003121748178982,24.870967741935484,13.839499187945817,25.516129032258064,13.552457145958002,0.18485067628352275,0.093652445369406867,0.93659536817852895,0.15958077691249706,0.97117175001194578,0.1694908638617893,['ctx-lh-isthmuscingulate']
ctx-lh-superiorfrontal,0.37011097583993469,0.032653061224489743,27.142857142857142,10.318202659496905,26.699999999999999,9.6870310946425384,0.0066907108676684864,0.24244897959183676,1.0519364245828708,0.18562140645302119,0.9723922449441833,0.13655179790811114,0.39835265812428133,0.026267281105990747,0.11457628298540234,0.085629017447199307,28.083333333333332,9.7964446756376002,26.931818181818183,9.2745931723389727,0.46819844988408782,0.0057392102846648418,0.98979782552997853,0.16941186464299948,0.97040042440613916,0.1242202375041024,0.05960450007148884,0.16233090530697192,29.14516129032258,9.0551122153206887,27.193548387096776,8.7783434209081062,0.0023564535803507316,0.2944849115504683,0.91964134272832621,0.11367288337282501,0.96815159476641166,0.10858394171598849,['ctx-lh-superiorfrontal']
ctx-lh-middletemporal,0.41011402356191823,0.022448979591836782,25.742857142857144,11.149228947440669,25.357142857142858,11.994088680066781,0.0073413356066454015,0.23918367346938774,1.0461074387178404,0.15702042226139359,0.9788921201787848,0.1500481822339915,0.068887677113550969,0.15023041474654375,0.36015561689793807,0.025539485766758463,26.583333333333332,10.791439976559049,27.083333333333332,11.642426115659307,0.058279038769367283,0.11179981634527092,0.98798968692738653,0.15714964243465854,0.95713331983923577,0.1404407681982304,0.206083620622459,0.085587929240374616,27.532258064516128,10.290486903329516,29.032258064516128,10.908664419500385,0.3130419017731722,0.050988553590010421,0.92237287038977744,0.1289293492382253,0.93256693235910004,0.12423610533235319,['ctx-lh-middletemporal']
ctx-lh-posteriorcingulate,0.39879234469824332,0.025306122448979562,30.357142857142858,12.347394999161001,30.971428571428572,12.491107040692624,0.0077757375818413238,0.2371428571428571,1.0172266360247169,0.22683780788352059,0.9377960351949477,0.18649493020550706,0.43391211953744124,0.017050691244239635,0.45665110971078376,0.0078053259871441183,30.681818181818183,12.492008464698289,30.65909090909091,12.751606877622619,0.16251078620129494,0.070133149678604179,0.95749199646102034,0.19968311793416108,0.93195170235995739,0.1757089472456716,0.32452512994810967,0.047606659729448442,31.048387096774192,12.643278744002412,30.306451612903224,13.030471372254443,0.10350264991607289,0.13163371488033304,0.89004966146974984,0.13498049764251072,0.92535326206238766,0.16242140520048845,['ctx-lh-posteriorcingulate']
