Name,regions,INC_LOW_N_rank_effect_pvalue,INC_LOW_N_rank_effect_rank_biserial,INC_LOW_N_ranks_post_mean,INC_LOW_N_ranks_post_std,INC_LOW_N_ranks_prior_mean,INC_LOW_N_ranks_prior_std,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_rank_effect_pvalue,STABLE_LOW_N_rank_effect_rank_biserial,STABLE_LOW_N_ranks_post_mean,STABLE_LOW_N_ranks_post_std,STABLE_LOW_N_ranks_prior_mean,STABLE_LOW_N_ranks_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std
Cluster21,"['ctx-lh-fusiform', 'ctx-rh-fusiform']",0.304002705,0.049990081,19.56338028,6.136320856,18.67605634,6.98040446,0.076058533,0.139456457,0.812637755,0.11939739,0.783897361,0.117081863,0.368872088,0.023951049,20.2,5.94772096,19.65909091,6.620479642,0.289369419,0.03974359,0.767232519,0.118112718,0.760359038,0.107092875,0.491603815,0.002500695,20.96610169,5.617666147,20.80327869,5.974864487,0.175052023,0.099194221,0.71259232,0.090094009,0.732961973,0.086411977
Cluster15,"['ctx-lh-lateraloccipital', 'ctx-rh-lateraloccipital']",0.487777026,0.003173973,11.52112676,10.10349145,11.35211268,10.6017519,0.080838563,0.136282484,0.959842106,0.221152638,0.910643778,0.236186294,0.415941815,0.01520979,11.47692308,10.37468471,11.75757576,10.77041487,0.243894114,0.04965035,0.9069926,0.224268675,0.889196229,0.228219393,0.41566192,0.022784107,11.42372881,10.69167804,12.2295082,10.94455991,0.287166224,0.059738816,0.843394041,0.211094181,0.864232689,0.215914555
Cluster22,"['Right-Caudate', 'Left-Caudate']",0.366377528,0.033326721,24.50704225,6.637225874,24.05633803,6.77794128,0.105180791,0.121999603,0.719332543,0.129237281,0.691105034,0.123740598,0.377144448,0.022377622,23.72307692,7.238800777,23.57575758,6.970849707,0.440697046,0.010722611,0.70273593,0.124231747,0.698315956,0.119433935,0.467456527,0.008891359,22.77966102,7.798452251,23.01639344,7.148292937,0.108675723,0.130869686,0.682763735,0.114788367,0.706708996,0.113642184
Cluster48,"['ctx-lh-lingual', 'ctx-rh-lingual']",0.42859895,0.017655227,23.28169014,7.109174985,23.61971831,6.67846275,0.123282942,0.11287443,0.743788585,0.162428019,0.70568726,0.151892719,0.485990095,0.002564103,23.5,7.210302458,23.70454545,6.740581124,0.378659453,0.022144522,0.703883728,0.1583671,0.692085728,0.148777257,0.439364054,0.016393443,23.76271186,7.321523837,23.80327869,6.810839173,0.229601191,0.078632954,0.655862629,0.138889,0.676254435,0.143451822
Cluster35,"['Right-Hippocampus', 'Left-Hippocampus']",0.012556379,0.217020432,24.92957746,4.183549082,22.57746479,5.813200064,0.243964497,0.067645308,0.728612603,0.072238332,0.722266152,0.081753777,0.187793674,0.063170163,23.58461538,4.548515591,22.75,5.267647109,0.36081111,0.025524476,0.716452797,0.070069893,0.715031552,0.07123683,0.064618311,0.160322312,21.96610169,4.441583554,22.95081967,4.542788302,0.297991432,0.056404557,0.70181981,0.064392401,0.706610952,0.055408449
Cluster14,"['Left-Accumbens-area', 'Right-Accumbens-area']",0.120217582,0.104542749,33.38028169,0.811296948,33.47887324,1.059619317,0.387387688,0.027970641,0.202384872,0.164139917,0.199479751,0.153631084,0.405570027,0.015617716,33.45384615,0.755610181,33.37878788,1.345758224,0.14798927,0.074592075,0.187367151,0.153117731,0.202263121,0.155092303,0.17202271,0.091136427,33.54237288,0.672007715,33.26229508,1.608396405,0.098603863,0.136426785,0.169294979,0.136524473,0.205502781,0.156713673
Cluster12,"['ctx-rh-temporalpole', 'ctx-lh-temporalpole']",0.007253603,0.23765126,13.35211268,7.176052883,10.49295775,7.516879109,0.395426735,0.025986907,0.903273525,0.140677274,0.898558419,0.143560226,0.041275478,0.124009324,11.72307692,7.328569369,10.21969697,7.395037642,0.238809528,0.050815851,0.885758382,0.136573867,0.89845957,0.14102141,0.484273917,0.004445679,9.762711864,7.023782802,9.901639344,7.237663145,0.068696298,0.157543762,0.864680837,0.128335173,0.898344516,0.138007502
Cluster50,['Right-vessel'],0.400876321,0.01844872,33.15492958,6.814747652,32.94366197,7.251784285,0.476815264,0.004562587,0.097788505,0.248952771,0.136149038,0.397036314,0.404079418,0.012820513,33.50769231,5.409743565,32.60606061,8.012071929,0.446833673,0.007342657,0.093748077,0.228569469,0.132452524,0.366944438,0.484013394,0.00333426,33.93220339,2.875167832,32.21311475,8.798499787,0.43888909,0.012503473,0.088885867,0.201215171,0.128150023,0.328413462
Cluster10,"['Left-Amygdala', 'ctx-rh-unknown', 'Right-Amygdala', 'ctx-lh-unknown']",0.050070385,0.159095418,27.95774648,4.150128522,26.71830986,5.091232725,0.49348949,0.00178536,0.647018978,0.108860723,0.641695629,0.104274541,0.034941785,0.128729604,27.38461538,4.518993447,26.37121212,5.123335359,0.201204686,0.05990676,0.632075895,0.114023706,0.641234263,0.096847227,0.230395472,0.077521534,26.69491525,4.837194303,25.96721311,5.130964224,0.079738812,0.149208113,0.61409354,0.117448404,0.640697264,0.087408067
Cluster38,"['Left-Thalamus-Proper', 'Right-Thalamus-Proper']",0.034854549,0.176353898,11.94366197,7.69650977,9.676056338,7.44325888,0.495117022,0.001388613,0.906320131,0.097530283,0.903923806,0.095466715,0.202413283,0.059498834,9.653846154,7.546483173,8.689393939,6.815904502,0.18642795,0.063752914,0.902769207,0.093868494,0.910603052,0.089811332,0.162471839,0.10419561,6.898305085,6.347814025,7.540983607,5.795910855,0.091210215,0.141428174,0.898496062,0.089075534,0.918377257,0.082061681
Cluster36,"['Right-Pallidum', 'Left-Pallidum']",0.049081818,0.160484031,9.211267606,8.408438908,6.788732394,6.996811131,0.498372305,0.00059512,0.96933062,0.132612847,0.974976258,0.112577776,0.257515755,0.046328671,7.2,7.825402423,6.25,6.837258666,0.445848508,0.00979021,0.969162627,0.133939464,0.97682094,0.117827633,0.197975043,0.089191442,4.779661017,6.254673633,5.62295082,6.591509527,0.437432875,0.016949153,0.968960467,0.13551841,0.978968029,0.123623097
