Region,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,regions
CTX_LH_CUNEUS,0.257373809,0.046430211,37.59848485,16.79730311,38.73484848,16.69914707,0.253027175,0.047405877,1.067065443,0.098545044,1.057789769,0.083046007,ctx-lh-cuneus
CTX_LH_CAUDALMIDDLEFRONTAL,0.470756981,0.005280073,39.24242424,16.18413047,39.53030303,15.66961903,0.373872089,0.022956841,1.064002493,0.107603639,1.052159626,0.084200187,ctx-lh-caudalmiddlefrontal
RIGHT_CAUDATE,0.37629228,0.022497704,42.38636364,19.33306468,41.37121212,18.09671212,0.460511748,0.007116621,1.051137645,0.100339682,1.051620538,0.091595639,Right-Caudate
CTX_RH_PRECENTRAL,0.230305857,0.052571166,38.04545455,12.37413213,38.9469697,12.32902119,0.19890194,0.060261708,1.059630419,0.088053423,1.050433453,0.075646204,ctx-rh-precentral
CTX_LH_PRECENTRAL,0.268932034,0.043904959,39.47727273,13.85994114,40.46969697,12.98976252,0.240814629,0.050160698,1.056029977,0.094837257,1.047316964,0.077309031,ctx-lh-precentral
CTX_RH_PARSTRIANGULARIS,0.272960844,0.043044077,40.14393939,14.70679732,41.39393939,15.63492476,0.175928965,0.066345271,1.054948538,0.101004175,1.042769822,0.083957299,ctx-rh-parstriangularis
CTX_LH_PARSTRIANGULARIS,0.194375317,0.06140955,40.72727273,16.2294583,42.54545455,16.37781372,0.137726641,0.077708907,1.057677872,0.109324499,1.04139708,0.08257758,ctx-lh-parstriangularis
CTX_RH_TRANSVERSETEMPORAL,0.374462732,0.022842057,44.77272727,20.72679093,43.98484848,20.71084654,0.472688027,0.004935721,1.038481044,0.092185752,1.037707204,0.089513137,ctx-rh-transversetemporal
CTX_RH_CAUDALMIDDLEFRONTAL,0.078169669,0.100952709,41.5,13.68337855,43.6969697,13.3325413,0.198452411,0.060376492,1.052092854,0.094633523,1.037448303,0.0778197,ctx-rh-caudalmiddlefrontal
CTX_LH_PARSOPERCULARIS,0.219212815,0.055211203,41.81818182,15.93538952,43.78787879,14.56075584,0.361118944,0.025367309,1.049184225,0.105303103,1.036921647,0.080488752,ctx-lh-parsopercularis
CTX_LH_FUSIFORM,0.371694647,0.023358586,43.91666667,14.8135082,43.83333333,14.750535,0.324403514,0.03248393,1.042532959,0.08972588,1.03664475,0.080214331,ctx-lh-fusiform
CTX_RH_FUSIFORM,0.334274125,0.030532599,44.36363636,13.61665242,43.59090909,14.65717042,0.404149102,0.017332415,1.036642846,0.081275375,1.035151639,0.074469723,ctx-rh-fusiform
CTX_LH_INSULA,0.489707664,0.001893939,45.71212121,13.51123567,45.43181818,13.25689825,0.396052006,0.01882461,1.0369292,0.088259348,1.031647309,0.072788134,ctx-lh-insula
CTX_RH_CUNEUS,0.481673418,0.003328742,46.40909091,19.40827477,46.18181818,19.85775865,0.499678431,0.000114784,1.032084015,0.089840188,1.028602038,0.077933964,ctx-rh-cuneus
CTX_LH_LINGUAL,0.307440265,0.035870064,47.70454545,16.50515927,46.72727273,15.73121338,0.397294893,0.018595041,1.028852703,0.084749438,1.027045483,0.071366086,ctx-lh-lingual
CTX_RH_SUPRAMARGINAL,0.24833591,0.048438935,46.81818182,14.15702962,47.90909091,14.9562263,0.186980907,0.063360882,1.035194703,0.098009882,1.024353402,0.080757106,ctx-rh-supramarginal
CTX_RH_INSULA,0.279422915,0.041666667,48.56060606,13.61274891,49.77272727,13.37602497,0.291529388,0.039141414,1.026136432,0.082593235,1.018876434,0.070846544,ctx-rh-insula
CTX_LH_LATERALOCCIPITAL,0.4346861,0.011765381,48.92424242,25.19368043,49.81818182,25.5413563,0.314609671,0.034435262,1.024929934,0.12470992,1.014678066,0.111108186,ctx-lh-lateraloccipital
CTX_RH_LATERALOCCIPITAL,0.327576009,0.031852617,48.10606061,24.08704467,49.50757576,23.7590481,0.33667096,0.030073462,1.021221383,0.102167627,1.01394576,0.09544753,ctx-rh-lateraloccipital
CTX_RH_INFERIORPARIETAL,0.233295043,0.051882461,49.92424242,17.37536623,51.40151515,17.52221959,0.172201703,0.067378329,1.023085078,0.09545356,1.011761726,0.085226385,ctx-rh-inferiorparietal
CTX_LH_SUPRAMARGINAL,0.437216662,0.011306244,51.56818182,16.77850048,52.08333333,14.986884,0.257169262,0.046487603,1.020211059,0.099755927,1.01020953,0.080931138,ctx-lh-supramarginal
CTX_RH_LINGUAL,0.1800488,0.065197429,53.34848485,14.85637545,51.72727273,14.643279,0.461791919,0.006887052,1.009658845,0.072548665,1.00945139,0.058334088,ctx-rh-lingual
CTX_LH_INFERIORPARIETAL,0.406322084,0.01693067,51.65909091,20.52412828,52.46212121,19.17637645,0.254576333,0.047061524,1.021546412,0.110985389,1.008847316,0.091645214,ctx-lh-inferiorparietal
LEFT_AMYGDALA,0.193059963,0.061753903,57.36363636,17.89585729,55.11363636,19.60621721,0.345542055,0.028351699,0.990041607,0.091222044,0.996721638,0.084190293,Left-Amygdala
CTX_RH_MEDIALORBITOFRONTAL,0.5,5.74E-05,58.18181818,17.85625185,58.77272727,16.67360049,0.357502652,0.026056015,0.996388867,0.098200453,0.989836231,0.078499507,ctx-rh-medialorbitofrontal
CTX_RH_INFERIORTEMPORAL,0.206114734,0.058425161,57.60606061,14.85013905,59.18939394,15.79323435,0.195768135,0.061065197,0.994530648,0.082445762,0.986803933,0.078117681,ctx-rh-inferiortemporal
CTX_LH_INFERIORTEMPORAL,0.062376962,0.109331956,56.49242424,15.91192435,59.40909091,15.91452288,0.055516484,0.113521579,0.999660994,0.088051587,0.985332461,0.079326213,ctx-lh-inferiortemporal
CTX_LH_ROSTRALMIDDLEFRONTAL,0.140874377,0.076675849,59.15151515,18.57600474,61.74242424,17.9226542,0.211736377,0.05704775,0.995807887,0.108262598,0.979722852,0.084710867,ctx-lh-rostralmiddlefrontal
CTX_RH_ROSTRALMIDDLEFRONTAL,0.052039331,0.115759871,58.03030303,16.63600485,61.59848485,16.65781273,0.090835068,0.095156107,0.998643409,0.094929463,0.979071573,0.082651129,ctx-rh-rostralmiddlefrontal
CTX_RH_PARSORBITALIS,0.164049773,0.069674013,59.9469697,18.32588598,61.62878788,20.10970115,0.17426614,0.066804408,0.988972208,0.099920872,0.978066563,0.096111698,ctx-rh-parsorbitalis
CTX_LH_SUPERIORPARIETAL,0.202468119,0.059343434,60.76515152,21.18420647,63.06060606,19.95933653,0.130070812,0.08023416,0.992573891,0.122897929,0.977770332,0.104263513,ctx-lh-superiorparietal
RIGHT_AMYGDALA,0.420758263,0.014290634,62.59848485,15.64320932,61.97727273,16.81515636,0.487460884,0.002295684,0.974290298,0.079614768,0.975022944,0.075104692,Right-Amygdala
CTX_LH_MEDIALORBITOFRONTAL,0.197478644,0.060606061,61.41666667,15.47287052,62.66666667,15.88865932,0.334907401,0.030417815,0.983436325,0.090723145,0.974275788,0.077707893,ctx-lh-medialorbitofrontal
4TH_VENTRICLE,0.340473062,0.029327365,61.83333333,20.49987682,61.14393939,19.89332634,0.40915266,0.016414141,0.97300252,0.07820875,0.974141751,0.073912712,4th-Ventricle
CTX_LH_SUPERIORFRONTAL,0.438800875,0.011019284,64.75757576,14.41386181,65.15151515,13.079874,0.499678431,0.000114784,0.979846123,0.093950836,0.971194822,0.072711498,ctx-lh-superiorfrontal
CTX_RH_POSTCENTRAL,0.23696365,0.051021579,66.10606061,13.47514973,65.00757576,13.31523177,0.419203521,0.014577594,0.972028046,0.08643347,0.96950111,0.072693642,ctx-rh-postcentral
CTX_RH_SUPERIORFRONTAL,0.368640202,0.023932507,65.11363636,13.32612365,66.08333333,12.44931644,0.401653136,0.017791552,0.977145431,0.090210307,0.967395988,0.070957252,ctx-rh-superiorfrontal
CTX_LH_POSTCENTRAL,0.479420872,0.003730487,66.17424242,15.41275358,66.60606061,14.72719479,0.311753378,0.035009183,0.971676456,0.093101237,0.965505395,0.076979031,ctx-lh-postcentral
CTX_LH_PARSORBITALIS,0.25245757,0.047520661,64.12878788,18.80820473,65.62878788,18.91544395,0.178441973,0.065656566,0.972847144,0.102252232,0.962864521,0.090147372,ctx-lh-parsorbitalis
RIGHT_ACCUMBENS_AREA,0.36228784,0.025137741,65.33333333,19.23052603,65.12878788,17.90141577,0.433108683,0.012052342,0.960638913,0.096962817,0.96155026,0.081003198,Right-Accumbens-area
CTX_RH_SUPERIORPARIETAL,0.270534217,0.043560606,65.79545455,18.19454573,66.85606061,18.09827238,0.211736377,0.05704775,0.97255485,0.104414846,0.961366996,0.086891197,ctx-rh-superiorparietal
CTX_RH_MIDDLETEMPORAL,0.024979448,0.139577594,64.1969697,12.06575381,67.02272727,12.21801074,0.112236008,0.086547291,0.972821838,0.070421266,0.960306126,0.064533558,ctx-rh-middletemporal
LEFT_ACCUMBENS_AREA,0.261552169,0.045511938,66.98484848,18.84947747,65.15151515,19.77888561,0.333147476,0.030762167,0.955628485,0.101961889,0.956562871,0.089565605,Left-Accumbens-area
CTX_RH_SUPERIORTEMPORAL,0.456964844,0.007747934,69.52272727,9.015530295,69.18939394,9.405939915,0.48810372,0.0021809,0.957135465,0.063264474,0.954759462,0.056965997,ctx-rh-superiortemporal
CTX_LH_SUPERIORTEMPORAL,0.371042277,0.02347337,69.9469697,9.924193268,69.46969697,10.2191438,0.390472255,0.019857668,0.955031075,0.072717288,0.954608922,0.060900521,ctx-lh-superiortemporal
CTX_RH_PARAHIPPOCAMPAL,0.143706535,0.075757576,71.39393939,11.55340536,69.88636364,11.90915597,0.423617819,0.013774105,0.943529419,0.077513387,0.946585411,0.068943958,ctx-rh-parahippocampal
CTX_LH_MIDDLETEMPORAL,0.118265478,0.084308999,69.15909091,14.51896855,71.21212121,14.16730674,0.145684362,0.075183655,0.95399182,0.078773863,0.943654125,0.07050449,ctx-lh-middletemporal
CTX_LH_PARAHIPPOCAMPAL,0.21763066,0.055555556,74.47727273,11.52432599,74.03787879,10.77553718,0.469480799,0.005509642,0.929802939,0.081721838,0.931165087,0.077177075,ctx-lh-parahippocampal
CTX_LH_UNKNOWN,0.485846045,0.002582645,73.72727273,13.44128134,73.04545455,15.26972824,0.482962039,0.003099174,0.927601533,0.079853888,0.928291861,0.077608317,ctx_lh_Unknown
LEFT_CHOROID_PLEXUS,0.0341186,0.129763545,74.47727273,17.70185143,70.59090909,19.64956417,0.11316132,0.086202938,0.903506359,0.113492235,0.923171745,0.116630182,Left-choroid-plexus
CTX_RH_UNKNOWN,0.14717728,0.074667126,79.20454545,11.83583326,78.01515152,12.0598161,0.302127183,0.036960514,0.898352152,0.076173538,0.903728857,0.06899123,ctx-rh-unknown
RIGHT_CHOROID_PLEXUS,0.068571481,0.105601469,81.13636364,15.01906502,77.47727273,18.44420986,0.082197359,0.09905877,0.855267624,0.123366249,0.880145102,0.124284562,Right-choroid-plexus
CTX_LH_TEMPORALPOLE,0.185063144,0.063762626,82.23484848,9.692905754,82.57575758,10.7005531,0.282741692,0.040977961,0.880234221,0.083205884,0.87770133,0.080383432,ctx-lh-temporalpole
CTX_LH_ENTORHINAL,0.093413969,0.09389348,82.46212121,8.524834756,83.40909091,8.859983707,0.187848487,0.063131313,0.879712857,0.076684583,0.875415014,0.076599527,ctx-lh-entorhinal
CTX_RH_TEMPORALPOLE,0.357309661,0.026056015,82.95454545,9.953576817,81.87121212,12.64336292,0.326726041,0.032024793,0.86775424,0.088742123,0.875021458,0.087207599,ctx-rh-temporalpole
CTX_RH_ENTORHINAL,0.26520571,0.044651056,83.96212121,9.339071804,85.13636364,7.654244938,0.406648976,0.016873278,0.862604615,0.079911419,0.858914904,0.073133545,ctx-rh-entorhinal
RIGHT_LATERAL_VENTRICLE,0.046318324,0.119432966,84.13636364,15.55477746,80.27272727,18.97609777,0.045331961,0.120523416,0.806643576,0.149744495,0.840517786,0.151118111,Right-Lateral-Ventricle
LEFT_LATERAL_VENTRICLE,0.105178132,0.089015152,83.46212121,16.96851153,80.15909091,19.91376467,0.061539232,0.109848485,0.808586177,0.156017992,0.839823107,0.157159796,Left-Lateral-Ventricle
CTX_RH_FRONTALPOLE,0.04784825,0.118227732,87.04545455,10.412597,88.48484848,8.821877805,0.086944726,0.09687787,0.815878175,0.102720211,0.797950791,0.098041159,ctx-rh-frontalpole
CTX_LH_FRONTALPOLE,0.100966452,0.090277778,88.83333333,8.822463295,90.53787879,5.875482318,0.116916967,0.084825528,0.791305172,0.106884397,0.772806757,0.090736887,ctx-lh-frontalpole
3RD_VENTRICLE,0.091952849,0.093778696,90.06818182,8.815613887,89.16666667,8.498811563,0.084421192,0.098025712,0.75257581,0.11257805,0.771073922,0.113100241,3rd-Ventricle
CSF,0.05146382,0.112832874,93.03030303,4.292239992,92.52272727,4.927452334,0.040623743,0.124196511,0.709773349,0.102455586,0.729416963,0.100027288,CSF
5TH_VENTRICLE,0.437045254,0.011248852,17.68939394,28.02383525,17.27272727,27.82414771,1.10E-06,0.337121212,,,,,5th-Ventricle
