,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE
26,CTX_BANKSSTS,0.9133843774402786,CTX_LATERALOCCIPITAL,1.2903581840861702,CEREBRAL_WHITE_MATTER,1.7808458530652187,VENTRALDC,1.5151994092972298,CEREBRAL_WHITE_MATTER,1.636289114664577,CTX_PRECUNEUS,1.067117850629737,CTX_FUSIFORM,1.6468294477589382,CTX_PARSOPERCULARIS,1.1499988520310573,CTX_PRECUNEUS,1.114187297791644,CTX_CAUDALANTERIORCINGULATE,0.981317919475579,CTX_CAUDALANTERIORCINGULATE,0.954796839825832,CTX_TRANSVERSETEMPORAL,1.3114409091184955,CTX_ISTHMUSCINGULATE,1.075024675005836,CTX_MIDDLETEMPORAL,1.4214947325684841
27,HIPPOCAMPUS,0.9061337079911331,CTX_TEMPORALPOLE,1.2753969491186714,BRAIN_STEM,1.6185048413957304,CTX_PARACENTRAL,1.4891428952375017,CTX_PRECENTRAL,1.615045567652437,CTX_SUPRAMARGINAL,1.0452921438737768,CTX_ROSTRALANTERIORCINGULATE,1.6028875467119232,CTX_ENTORHINAL,1.1261359700247686,CTX_SUPERIORPARIETAL,1.108664724653964,CTX_SUPERIORTEMPORAL,0.9785634175245137,CTX_MEDIALORBITOFRONTAL,0.9544570337302084,CTX_MIDDLETEMPORAL,1.3100232816487023,CTX_SUPERIORTEMPORAL,1.0489357841129139,CTX_PRECENTRAL,1.4181012095519392
28,CTX_FUSIFORM,0.9025368849437136,CTX_PARACENTRAL,1.2318307666201807,CEREBELLUM_WHITE_MATTER,1.596017668657264,CTX_SUPERIORTEMPORAL,1.3848512284983234,CEREBELLUM_WHITE_MATTER,1.5908749320590974,CTX_INFERIORPARIETAL,1.0136718381970236,CTX_SUPERIORTEMPORAL,1.5887531022543266,CTX_CAUDALMIDDLEFRONTAL,1.1259007838955637,CTX_SUPERIORTEMPORAL,1.088825563427557,CTX_ISTHMUSCINGULATE,0.9695231495399691,CTX_INFERIORPARIETAL,0.9505686122215544,CTX_PRECENTRAL,1.2717510151951854,CTX_PRECUNEUS,1.0430770460685541,CAUDATE,1.384744094181218
29,CTX_SUPRAMARGINAL,0.8885218083563933,CTX_FUSIFORM,1.2309388881258363,VENTRALDC,1.5764685038557114,CTX_TEMPORALPOLE,1.2908629716006035,BRAIN_STEM,1.574327381619136,CTX_FRONTALPOLE,1.0105913076171473,CTX_CAUDALANTERIORCINGULATE,1.526678029405276,CTX_MEDIALORBITOFRONTAL,1.115818481938344,CTX_BANKSSTS,1.0774394997824128,CTX_BANKSSTS,0.9624652489647686,CTX_BANKSSTS,0.9344823442657033,CTX_SUPERIORTEMPORAL,1.2510865503244835,CTX_MEDIALORBITOFRONTAL,1.0063155080239052,CTX_INFERIORTEMPORAL,1.3771678964597978
30,CTX_FRONTALPOLE,0.879634601436703,CTX_PRECENTRAL,1.155834072129049,CTX_FUSIFORM,1.5156020071761709,CTX_FUSIFORM,1.261264335744883,VENTRALDC,1.5284506369887267,CTX_SUPERIORTEMPORAL,1.0027575872818382,CEREBRAL_WHITE_MATTER,1.4715623882016222,CTX_PARAHIPPOCAMPAL,1.1018342923314182,CTX_LATERALOCCIPITAL,1.066258400609373,CTX_PRECUNEUS,0.960072722661021,CTX_SUPERIORFRONTAL,0.9324383980926938,CTX_FUSIFORM,1.246797198498951,CTX_CUNEUS,0.9947880840353308,THALAMUS_PROPER,1.2784989317934103
31,CTX_PRECUNEUS,0.8750704196407112,PALLIDUM,1.1449986811557455,CTX_INSULA,1.439366831062217,PALLIDUM,1.2166724730518468,CTX_TEMPORALPOLE,1.501140149737352,CTX_ENTORHINAL,1.0009115317057873,CEREBELLUM_WHITE_MATTER,1.4260047949429155,PALLIDUM,1.096252972497444,CTX_PARACENTRAL,1.046809341925979,CTX_MEDIALORBITOFRONTAL,0.9453125433608152,CTX_SUPERIORTEMPORAL,0.9282288565171735,CTX_CUNEUS,1.2217880728831898,CTX_TEMPORALPOLE,0.9901116598088111,CTX_TEMPORALPOLE,1.2623424623183694
32,CTX_ENTORHINAL,0.8669726275805603,THALAMUS_PROPER,1.1271554273009723,CTX_PERICALCARINE,1.4356111803513152,CTX_INSULA,1.12036975459419,CTX_PERICALCARINE,1.487475278636841,CTX_BANKSSTS,0.9849380851811784,BRAIN_STEM,1.4239936665767627,CTX_PRECENTRAL,1.0927526117161503,CTX_TRANSVERSETEMPORAL,1.0042664175760339,CTX_ENTORHINAL,0.9357839769968208,CTX_PRECUNEUS,0.9105347923934666,CTX_TEMPORALPOLE,1.2059244976253396,CTX_TRANSVERSETEMPORAL,0.9876951389674785,CTX_INSULA,1.2580612744501662
33,CTX_SUPERIORPARIETAL,0.858622481530562,CTX_TRANSVERSETEMPORAL,1.1222078562619684,CTX_TEMPORALPOLE,1.4099032453114466,CTX_PARAHIPPOCAMPAL,1.104267214344978,CTX_LINGUAL,1.3675287229584476,CTX_MIDDLETEMPORAL,0.9831181841197411,VENTRALDC,1.3653648653875097,CTX_ROSTRALANTERIORCINGULATE,1.0684127238122116,CTX_ENTORHINAL,1.0039200663731183,CTX_FUSIFORM,0.9267727526640536,CTX_FUSIFORM,0.9078156579543825,PALLIDUM,1.1741020648828238,CTX_INFERIORTEMPORAL,0.9264907227283083,CTX_FUSIFORM,1.2348015760826343
34,CTX_POSTERIORCINGULATE,0.854877616749346,CTX_INSULA,1.1043881350655858,CTX_CUNEUS,1.3491384453621824,CTX_PERICALCARINE,1.073654846530937,CTX_CUNEUS,1.3530490883988726,CTX_LATERALOCCIPITAL,0.9696415874156047,CTX_TEMPORALPOLE,1.3059360758812666,CTX_CAUDALANTERIORCINGULATE,1.060056503996911,CAUDATE,0.9696505749579263,CTX_POSTERIORCINGULATE,0.9242601082250878,CTX_ENTORHINAL,0.9075839019857658,THALAMUS_PROPER,1.1390228531048545,CEREBELLUM_CORTEX,0.8427932283531763,CTX_ENTORHINAL,1.1938978517479226
35,CTX_MIDDLETEMPORAL,0.8539911032702515,CTX_PARAHIPPOCAMPAL,1.1002603092924652,CAUDATE,1.2357392061281087,THALAMUS_PROPER,1.0576297041882525,CTX_INSULA,1.3466073846151705,CTX_INSULA,0.9490890206760101,CTX_PARAHIPPOCAMPAL,1.1782637186573552,CTX_SUPERIORFRONTAL,1.0539583650398785,CTX_CUNEUS,0.9556496028501459,CEREBELLUM_CORTEX,0.8612812787521803,CTX_POSTERIORCINGULATE,0.862957394385056,CTX_LINGUAL,1.127088310715465,HIPPOCAMPUS,0.8348208023673147,CTX_PARAHIPPOCAMPAL,1.1890983136045328
