Name,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,INC_VS_STABLE_uptake_effect_pvalue,INC_VS_STABLE_uptake_effect_rank_biserial,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std,regions
Cluster28,0.11124542250940178,0.11882562983535017,0.69034649492389444,0.10191302508116805,0.67022648281498431,0.10763212063625881,0.25993002276125621,0.065342876933733529,0.45230061405753469,0.0086247086247086546,0.67815749541332382,0.10067482892218863,0.67529321679064314,0.11047995165953707,0.13288299145304894,0.11808835787718808,0.6634893773582311,0.097157682595158737,0.68119056289345914,0.11342016723832918,"['Right-Putamen', 'Left-Putamen']"
Cluster21,0.072617042393716635,0.14183693711565171,0.98112363130293967,0.14640341521651318,0.9509517280288895,0.14187234209009716,0.0046390918509624486,0.26344954975756174,0.25738295742491457,0.046620046620046596,0.93193230984644049,0.1384417705056801,0.92129330483748928,0.125652568551397,0.22801187540848611,0.079188663517643754,0.87273597385641644,0.10010434882447834,0.88677284505733556,0.092317640662023082,"['ctx-lh-fusiform', 'ctx-rh-fusiform']"
Cluster20,0.030835232651588006,0.18190835151755602,1.0804451479650483,0.18740719802645817,1.0182810669688498,0.15294247401666899,0.4927168938150191,0.0020780420226276242,0.13892075680817134,0.07762237762237767,1.0471065745378485,0.18070261028724974,1.0197334122385593,0.16331813714163118,0.33918074155086064,0.044178938594053863,1.0069872743118955,0.16351256613422915,1.021423846896746,0.17460484376365079,"['ctx-rh-caudalanteriorcingulate', 'ctx-lh-caudalanteriorcingulate']"
Cluster23,0.011403225021376794,0.2215830192422138,1.1189841489465657,0.228784488851313,1.0397942043735975,0.20254766578002653,0.31588122272191932,0.04871854075271298,0.023921320694920842,0.14149184149184146,1.0701917232325742,0.21137250833714707,1.026219905486804,0.1899242556791268,0.35468396129369195,0.039733259238677432,1.0114754143225171,0.17071331365770989,1.0104203117005366,0.17274434115452802,"['ctx-rh-cuneus', 'ctx-lh-cuneus']"
Cluster22,0.097941182261329529,0.12596707002578855,0.86810175194622075,0.15418938707075658,0.83829860076083174,0.14943577469339844,0.23540749696762492,0.073193257908104381,0.37309050897670742,0.023193473193473202,0.85441062731017858,0.1491234955905634,0.84622705194513848,0.14174178813794883,0.14329734469881461,0.11308696860238954,0.83793486715494203,0.14103802946864716,0.85545524922523286,0.1316238137821456,"['Right-Caudate', 'Left-Caudate']"
Cluster25,0.050061719154401198,0.16008728426899421,1.0608319663177557,0.20197327696621986,0.99986417291163321,0.16606336666688304,0.47997875705281479,0.0053105518356038051,0.25110956278748808,0.048018648018647969,1.0208854615105782,0.17279267306627033,0.99623764692915384,0.14669700325055118,0.16314063644134957,0.10419560989163656,0.97281424386126281,0.11165143010308022,0.99201660849053019,0.1201536474944549,"['ctx-rh-medialorbitofrontal', 'ctx-lh-medialorbitofrontal']"
Cluster24,0.0013192494350232433,0.29260067446935134,1.0002866601030622,0.17276409971930581,0.91630886316974103,0.15668107272087328,0.48543621476321691,0.003925190487185426,0.046602486549771185,0.12004662004662003,0.95287179776348108,0.16746932473070003,0.9171496600493203,0.15210995496902177,0.14931521750413523,0.11030841900527921,0.89581323460907025,0.14112764869383007,0.91812829248292882,0.14660402775583944,"['ctx-lh-posteriorcingulate', 'ctx-rh-posteriorcingulate']"
Cluster26,0.062503208494658569,0.14937512398333663,1.0181137099157127,0.15553500315288804,0.98460603925819312,0.16918503489157438,0.017683751256828351,0.21311475409836067,0.096170550800502019,0.093240093240093191,0.98350111648641214,0.15972701770117292,0.96105678166077058,0.16235608958655498,0.42299922242903798,0.020839121978327269,0.94184867354606805,0.15468184969093585,0.93364699003098428,0.14942384905283856,"['ctx-lh-entorhinal', 'ctx-rh-entorhinal']"
Cluster8,0.012155411063090963,0.21920253917873433,1.0297869998408495,0.16743081180591546,0.96891541188148911,0.13466056484339339,0.048317379631611923,0.16832140383283312,0.051570858654507272,0.1165501165501166,0.98548785299452102,0.1542771367463337,0.95215991007431555,0.126797038285209,0.44157299464548533,0.015837732703528729,0.93217871017944742,0.11621405223725302,0.93265760469219394,0.11391818808978539,"['ctx-lh-bankssts', 'ctx-rh-bankssts']"
Cluster9,6.701969991822512e-05,0.37155326324142035,1.1544514559564927,0.15456323813048253,1.0749848613132391,0.12890778264800756,0.49635829518324287,0.0011544677903486678,0.029550014612191689,0.13496503496503498,1.1053049616002395,0.15975029903277782,1.0724438827221341,0.12497539183764267,0.079738812058906483,0.14920811336482354,1.0461625700867816,0.14518146287943554,1.0694863502636347,0.12016884710752421,"['ctx-rh-parstriangularis', 'ctx-lh-parstriangularis', 'ctx-rh-parsopercularis', 'ctx-lh-parsopercularis']"
Cluster2,0.012027136975440587,0.21959928585598099,0.83368590235566564,0.11018107248601716,0.78796679081929577,0.10301598486279942,0.38859442139298561,0.02886169475871625,0.15620639501011629,0.072261072261072257,0.80829388459239837,0.11619114025573438,0.79055435803112128,0.098920019640277801,0.16705118952071601,0.10252848013337035,0.77773738863999131,0.1158793219473542,0.793566116589148,0.09383810370316141,"['ctx-rh-transversetemporal', 'ctx-lh-transversetemporal', 'ctx-lh-insula', 'ctx-rh-insula']"
Cluster0,0.062503208494658569,0.14937512398333663,0.75041415197668115,0.28956096664302799,0.66888244796021101,0.27672470371232416,0.13566846971100399,0.11152158854767957,0.15080156279803097,0.073892773892773933,0.68215977106968473,0.28691161070053678,0.6386972741258502,0.27164867917950836,0.41889280138818658,0.021950541817171487,0.60002314319855266,0.26101292602004977,0.60356371113831564,0.2612627937978369,"['ctx-lh-pericalcarine', 'ctx-rh-pericalcarine']"
Cluster1,0.0022006668367807107,0.27712755405673473,1.1276522942611806,0.14110827942335724,1.0683909817428767,0.12970686389129168,0.25845191703452236,0.065804664049873063,0.088875580585345171,0.096386946386946337,1.0998904132639473,0.15164955789031073,1.0781257291191115,0.14284116702962257,0.16574100913499468,0.10308419005279246,1.0664820479960904,0.15705954889889007,1.0894563367209578,0.15598552790500528,"['ctx-rh-precentral', 'ctx-lh-precentral', 'ctx-lh-postcentral', 'ctx-rh-postcentral']"
Cluster6,0.042926022677689066,0.1672287244594326,1.2146257673353116,0.25869760218081361,1.1203602296213415,0.26624505198639631,0.10388217503974373,0.12768413761256059,0.15777374205703643,0.071794871794871762,1.1363357335670019,0.26871050620061232,1.097570992838101,0.2668570761743348,0.33918074155086064,0.044178938594053863,1.0421223031000553,0.24961602200743663,1.0710458155985914,0.26511202168752973,"['ctx-lh-frontalpole', 'ctx-rh-frontalpole']"
Cluster4,0.0035424683160667912,0.26205118032136476,1.0770797853150484,0.1625505221308485,1.0069778850054869,0.13034942395543533,0.30941658633978258,0.050565689217270893,0.12431831486939737,0.082517482517482477,1.0338171729604855,0.15045314444470523,1.0073106062602513,0.12111305627112834,0.073693153098781675,0.15365379272020008,0.98175538521177519,0.11452827610974729,1.0076978719830096,0.10938345195054368,"['ctx-lh-caudalmiddlefrontal', 'ctx-rh-superiorfrontal', 'ctx-rh-caudalmiddlefrontal', 'ctx-lh-superiorfrontal']"
Cluster5,0.0026626646295960401,0.27117635389803607,1.0474433676060459,0.19371778770119019,0.97081122985077839,0.15416268632850244,0.24967558223499714,0.068575386746709821,0.050885037384407208,0.11701631701631698,0.988507901966728,0.1721673017229379,0.95354889272380583,0.13459379718523951,0.16969152717668484,0.10141706029452624,0.91758556196009122,0.10460893715294003,0.93345666426454188,0.10386517771038153,"['ctx-rh-isthmuscingulate', 'ctx-lh-isthmuscingulate', 'ctx-lh-precuneus', 'ctx-rh-precuneus']"
Cluster54,0.010350828429751189,0.2251537393374331,1.0727764710298797,0.18062025323940939,1.0034178364212107,0.139146244119248,0.23681375190303039,0.072731470791964958,0.09369152451584184,0.094289044289044277,1.0383530322656875,0.16137168192848764,1.0106196610812257,0.13570280400103718,0.24914953695434011,0.071964434565156998,0.99692821612572746,0.12238087091397895,1.0190021127346867,0.13108408938473284,"['ctx-lh-rostralanteriorcingulate', 'ctx-rh-rostralanteriorcingulate']"
Cluster53,0.095842217151881404,0.12715731005752828,0.80320437853183535,0.12245031687071879,0.77523814414524239,0.13513634379770348,0.08907747050410364,0.1364580928192104,0.27558980053811138,0.042657342657342667,0.77124785040902688,0.13973730705315657,0.75785013753932573,0.1229838784388177,0.21398955602155478,0.084190052792442294,0.73279168944768036,0.1492414128860938,0.73761163804719398,0.10350122823449612,"['ctx-rh-parahippocampal', 'ctx-lh-parahippocampal']"
